return_bin,frequency
-0.044676630345085386,2
-0.04283181158300431,0
-0.040986992820923246,0
-0.03914217405884217,0
-0.0372973552967611,0
-0.03545253653468003,0
-0.03360771777259895,0
-0.03176289901051789,2
-0.029918080248436816,3
-0.028073261486355746,2
-0.026228442724274673,3
-0.024383623962193603,4
-0.022538805200112533,8
-0.020693986438031463,9
-0.01884916767595039,13
-0.01700434891386932,13
-0.01515953015178825,20
-0.01331471138970718,25
-0.01146989262762611,44
-0.00962507386554504,52
-0.007780255103463966,52
-0.005935436341382893,66
-0.004090617579301823,101
-0.002245798817220753,106
-0.0004009800551396832,121
0.0014438387069413867,102
0.0032886574690224567,106
0.00513347623110353,89
0.0069782949931846035,74
0.008823113755265673,52
0.010667932517346743,46
0.012512751279427813,37
0.014357570041508883,26
0.016202388803589953,17
0.018047207565671027,14
0.019892026327752096,9
0.021736845089833166,6
0.023581663851914236,3
0.025426482613995306,1
0.027271301376076376,4
0.029116120138157446,2
0.030960938900238523,2
0.03280575766231959,2
0.03465057642440066,1
0.03649539518648173,0
0.0383402139485628,0
0.04018503271064387,0
0.04202985147272494,0
0.04387467023480602,0
0.04571948899688709,1
